"RandomRuns?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"AutoInoculate?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"bcell-tnfa-apop-threshold","263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",
"second-exposure-amt","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"[reporter]","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)"
,"-0.2706797514086236","1049.9621339400774","-0.27067975140862305","1049.962133940077","-0.2706797514086232","1049.9621339400778","-0.270679751408623","1049.962133940077","-0.2706797514086229","1049.9621339400787","-0.27067975140862316","1049.9621339400792","-0.2706797514086232","1049.9621339400774","-0.27067975140862277","1049.9621339400758","-0.27067975140862327","1049.9621339400765","-0.2706797514086226","1049.9621339400753"
,"-0.2796117762677605","1052.965920546068","-0.27961177626776057","1052.965920546069","-0.2796117762677608","1052.965920546068","-0.27961177626776035","1052.9659205460696","-0.2796117762677602","1052.9659205460694","-0.27961177626776057","1052.9659205460719","-0.27961177626776035","1052.9659205460666","-0.2796117762677603","1052.9659205460698","-0.27961177626776024","1052.9659205460705","-0.27961177626776096","1052.9659205460707"
,"-0.2876505986409845","1055.6693284914636","-0.2876505986409836","1055.6693284914643","-0.28765059864098463","1055.6693284914634","-0.2876505986409838","1055.66932849146","-0.28765059864098413","1055.6693284914613","-0.28765059864098413","1055.6693284914625","-0.28765059864098436","1055.6693284914625","-0.2876505986409838","1055.6693284914613","-0.28765059864098425","1055.6693284914643","-0.2876505986409838","1055.6693284914643"
,"-0.29488553877688617","1058.1023956423112","-0.29488553877688556","1058.102395642315","-0.294885538776886","1058.102395642313","-0.2948855387768857","1058.1023956423176","-0.294885538776886","1058.102395642319","-0.2948855387768859","1058.1023956423119","-0.2948855387768867","1058.1023956423132","-0.2948855387768859","1058.1023956423214","-0.29488553877688634","1058.1023956423141","-0.29488553877688567","1058.102395642312"
,"-0.3013969848991968","1060.292156078087","-0.30139698489919725","1060.2921560780796","-0.3013969848991978","1060.2921560780837","-0.30139698489919736","1060.2921560780894","-0.30139698489919714","1060.2921560780808","-0.30139698489919714","1060.2921560780856","-0.3013969848991973","1060.2921560780792","-0.3013969848991977","1060.2921560780853","-0.3013969848991978","1060.2921560780815","-0.3013969848991974","1060.292156078079"
,"-0.307257286409278","1062.2629404702716","-0.3072572864092773","1062.2629404702764","-0.3072572864092778","1062.262940470272","-0.30725728640927735","1062.262940470269","-0.3072572864092776","1062.262940470274","-0.3072572864092773","1062.2629404702807","-0.30725728640927746","1062.2629404702757","-0.3072572864092778","1062.2629404702764","-0.30725728640927813","1062.2629404702745","-0.30725728640927746","1062.262940470274"
,"-0.3125315577683501","1064.0366464232454","-0.3125315577683498","1064.0366464232477","-0.31253155776834934","1064.0366464232484","-0.3125315577683493","1064.036646423251","-0.31253155776834957","1064.0366464232484","-0.31253155776834984","1064.0366464232495","-0.31253155776834957","1064.0366464232502","-0.3125315577683502","1064.036646423253","-0.31253155776834957","1064.0366464232459","-0.31253155776835034","1064.0366464232438"
,"-0.3262784019915142","1065.6329817809215","-0.32627840199151487","1065.6329817809228","-0.3262784019915141","1065.6329817809242","-0.3262784019915152","1065.6329817809233","-0.32627840199151487","1065.6329817809212","-0.32627840199151403","1065.632981780921","-0.3262784019915153","1065.6329817809217","-0.3262784019915151","1065.6329817809242","-0.32627840199151487","1065.6329817809215","-0.3262784019915143","1065.6329817809215"
,"-0.3386505617923636","1067.0696836028287","-0.3386505617923627","1067.0696836028305","-0.33865056179236336","1067.06968360283","-0.3386505617923636","1067.0696836028296","-0.33865056179236247","1067.0696836028303","-0.33865056179236314","1067.0696836028276","-0.33865056179236325","1067.0696836028296","-0.3386505617923628","1067.0696836028285","-0.3386505617923637","1067.0696836028271","-0.338650561792363","1067.0696836028344"
,"-0.3497855056131265","1068.3627152425518","-0.34978550561312705","1068.362715242552","-0.34978550561312616","1068.3627152425468","-0.3497855056131264","1068.3627152425438","-0.3497855056131272","1068.362715242548","-0.34978550561312644","1068.3627152425483","-0.3497855056131266","1068.3627152425488","-0.3497855056131268","1068.362715242549","-0.34978550561312655","1068.3627152425406","-0.34978550561312666","1068.3627152425452"
